ID,이름,대화 내용,애니메이션 재생,,주석
1,엔지니어,브루스^ 좀 어때?,,,Day1_A에서 수리를 완전 실패했을때 나오는 대화문
2,브루스,전혀 움직이질 않네요.. 이러면 곤란한데..,2,,
3,엔지니어,이런...,,,
4,조세핀,죄송해요 브루스 씨. 지금 사장님이 아직 감이 확실히 안 돌아왔나 봐요.,2,,
5,브루스,괜찮아요^ 항상 성공할 수는 없죠.,1,,
6,브루스,한동안 출동은 힘들겠네요.,1,,
7,엔지니어,미안해 브루스^ 예전이라면 바로 고쳐줬을텐데...,,,
8,브루스,평소에 절 잘 정비해주셨잖아요^ 그럴 수도 있는 거죠.,0,,
9,브루스,그래도 빨리 감을 되찾으셨으면 좋겠어요.,2,,
10,브루스,저는 그럼 소방서로 다시 돌아가겠습니다.,0,,
11,엔지니어,혹시라도 오늘 저녁에라도 퇴근하면 다시 찾아와줘^ 그 때는 해결책을 찾아놓을게.,,,
12,브루스,감사합니다. 퇴근하고 한번 들를게요.,0,,
13,브루스,조세핀 씨^ 안녕히 계세요.,0,,브루스 퇴장
14,조세핀,살펴가세요^ 브루스 씨.,0,,조세핀 퇴장
15,조세핀,아직 손님을 받을 준비가 되지 않으신 것 같네요.,0,,조세핀 중앙에서 등장
16,엔지니어,그러게...,,,
17,엔지니어,잃어버린 감을 되찾기 위해 뭔가 조치를 취해야 돼.,,,
18,엔지니어,오늘 가게 문은 일찍 닫고^ 브루스를 고칠 방법을 찾아보자.,,,
19,조세핀,도와드리겠습니다^ 사장님.,0,,
20,[시스템 메시지],DAY 1 종료,,,
