ID,이름,대화 내용,애니메이션 재생,이벤트,이벤트 대상,주석
1,엔지니어,브루스^ 좀 어때?,,,,Day1_A에서 수리를 일부만 성공했을 경우 나오는 대화문.
2,브루스,움직일 수는 있지만^ 평소처럼 돌아오진 못했네요.,,1,1,
3,엔지니어,깔끔하게 고쳐주지 못해서 미안해.,2,,,
4,조세핀,죄송해요 브루스 씨. 지금 사장님이 아직 감이 확실히 안 돌아왔나 봐요.,,,,
5,브루스,괜찮아요^ 항상 성공할 수는 없죠.,1,,,
6,브루스,계속 수리하면서 감을 잡으시면 되죠. 칠전팔기라는 말도 있잖아요?,1,,,
7,엔지니어,좋은 말 고마워^ 힘이 좀 나네.,0,,,
8,브루스,평소에 절 잘 정비해주셨잖아요^ 그럴 수도 있는 거죠.,,,,
9,브루스,저는 그럼 소방서로 다시 돌아가겠습니다. 수리해주셔서 감사합니다.,0,,,
10,엔지니어,잘 해주지 못해서 미안할 뿐인걸^ 조심해서 돌아가.,0,,,
11,브루스,조세핀 씨도 안녕히 계세요.,,3,1,브루스 퇴장
12,조세핀,살펴가세요^ 브루스 씨.,0,,,조세핀 퇴장
13,엔지니어,오늘따라 뭔가 이상하네...,0,,,조세핀 중앙에서 등장
14,조세핀,다른 손님을 받기도 전에 벌써 영업 종료 시간이 되었네요.,,,,
15,조세핀,잃어버린 감을 되찾기 위해 뭔가 조치를 취해야 됩니다.,0,,,
16,조세핀,그나마 브루스 씨는 절반이라도 고치셨으니 다행입니다.,0,,,
17,엔지니어,가게 문을 일찍 닫고 공부를 다시 해봐야겠어. 계속 이런 모습으로 수리를 할 순 없지.,1,,,
18,엔지니어,조금 이따 공부가 끝나면 너도 다시 고쳐줄게^ 오늘 민폐를 많이 끼쳐서 미안해.,,,,
19,조세핀,알았다면 됐습니다. 사장님.,,,,
20,[시스템 메시지],DAY 1 종료,2,4,0,
